id;chart_name;item_id;indicator;x_axis_step;y_axis_step;start_date;end_date
1;Licensed Granite Chicken;55351;13161;23086;61873;2020-05-14T07:08:55;2020-05-14T21:20:29
2;invoice Generic;30050;81010;18413;63078;2020-05-14T12:00:54;2020-05-14T02:44:21
3;TCP Fresh system-worthy;87343;63256;66560;7777;2020-05-14T05:35:00;2020-05-14T19:58:28
4;deliverables New Taiwan Dollar Switzerland;47955;55098;42155;27620;2020-05-14T18:04:08;2020-05-14T20:31:49
5;SCSI;75942;60311;82796;15707;2020-05-14T18:21:11;2020-05-14T16:34:18
6;Implementation Steel;85259;13322;78986;77885;2020-05-14T15:47:08;2020-05-14T01:50:11
7;transmitting;58311;81798;14738;96373;2020-05-14T05:26:40;2020-05-14T07:36:31
8;architect Investor;94966;31505;62985;2087;2020-05-14T00:13:54;2020-05-14T07:45:40
9;even-keeled Implemented cross-platform;77022;81439;23878;15273;2020-05-14T12:35:04;2020-05-14T02:40:05
10;Manager;1328;71621;34479;3543;2020-05-14T10:56:28;2020-05-14T02:48:36
