id;company_id;company_name;industry;market_cap;price
1;30933;evolve Fantastic;connecting Personal Loan Account;50132;65100
2;51774;Money Market Account backing up;interface bypass;63387;25476
3;23864;Representative;override orchid reboot;8160;66179
4;98210;matrix;content optical;1515;22578
5;39222;Research Small Corporate;enable;70836;13431
6;3381;JBOD Martinique system engine;Fantastic Rubber Chips invoice Road;29948;85955
7;49944;Refined Fresh Towels Chilean Peso Unidades de fome;Handcrafted;8700;54033
8;70342;standardization tan deposit;China;53352;91563
9;43781;Graphic Interface middleware;compressing viral;35093;44246
10;14260;24/7;Handcrafted Frozen Shoes generating strategize;45020;19807
