id;currency_name;symbol;last_price;jhi_change
1;Tunisian Dinar;British Indian Ocean Territory (Chagos Archipelago;90228;67076
2;Manat;Soft primary Accountability;81117;78874
3;Philippine Peso;Orchestrator Ville Small Metal Shoes;45593;76210
4;Dong;ROI optical Unbranded;60008;12694
5;Rand Loti;Meadow Wyoming;19857;64744
6;Peso Uruguayo Uruguay Peso en Unidades Indexadas;Home Loan Account;55385;39271
7;Argentine Peso;Money Market Account Personal Loan Account Hong Ko;73633;99833
8;Falkland Islands Pound;Beauty Massachusetts Money Market Account;16281;48144
9;Kwanza;Identity navigating;14943;78872
10;Trinidad and Tobago Dollar;Investor;10549;62688
