id;chart_id;user_id;item_id;indicator;x_axis_step;y_axis_step;start_date;end_date
1;29386;20750;79658;48403;82699;93983;2020-05-14T02:50:53;2020-05-14T11:36:17
2;74590;14760;5135;2449;44338;80238;2020-05-14T22:04:12;2020-05-14T04:21:16
3;62590;71452;97286;80321;11521;2644;2020-05-14T11:17:56;2020-05-14T17:14:22
4;6729;24666;86420;11595;32560;95532;2020-05-14T11:48:20;2020-05-14T15:32:46
5;71279;52800;8617;13849;15946;89686;2020-05-14T18:47:09;2020-05-14T09:13:04
6;95095;18336;82377;44112;5842;482;2020-05-14T16:51:05;2020-05-14T10:21:56
7;11481;83415;79034;25127;11146;55444;2020-05-14T18:56:00;2020-05-14T10:02:15
8;35116;29539;33845;2265;35438;19089;2020-05-14T03:41:31;2020-05-14T16:17:49
9;24865;57166;93706;88181;28838;65347;2020-05-14T08:38:16;2020-05-14T04:22:19
10;69919;73025;45408;24784;98099;73168;2020-05-14T03:54:44;2020-05-14T08:02:07
